"","Country","Year","Gas","Unit","EU","rank","Sector","Emissions"
"1","Austria",1850,"CO2","MtCO₂e",1,8,"Energy",2.27
"2","Austria",1850,"CO2","MtCO₂e",1,8,"Waste",0
"3","Austria",1850,"CO2","MtCO₂e",1,8,"Agriculture",0
"4","Austria",1850,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.07
"5","Austria",1850,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",2.34
"6","Austria",1851,"CO2","MtCO₂e",1,8,"Waste",0
"7","Austria",1851,"CO2","MtCO₂e",1,8,"Energy",2.27
"8","Austria",1851,"CO2","MtCO₂e",1,8,"Agriculture",0
"9","Austria",1851,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",2.35
"10","Austria",1851,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.07
"11","Austria",1852,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",2.83
"12","Austria",1852,"CO2","MtCO₂e",1,8,"Agriculture",0
"13","Austria",1852,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.09
"14","Austria",1852,"CO2","MtCO₂e",1,8,"Energy",2.74
"15","Austria",1852,"CO2","MtCO₂e",1,8,"Waste",0
"16","Austria",1853,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",3.25
"17","Austria",1853,"CO2","MtCO₂e",1,8,"Waste",0
"18","Austria",1853,"CO2","MtCO₂e",1,8,"Energy",3.14
"19","Austria",1853,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.1
"20","Austria",1853,"CO2","MtCO₂e",1,8,"Agriculture",0
"21","Austria",1854,"CO2","MtCO₂e",1,8,"Energy",3.1
"22","Austria",1854,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",3.2
"23","Austria",1854,"CO2","MtCO₂e",1,8,"Agriculture",0
"24","Austria",1854,"CO2","MtCO₂e",1,8,"Waste",0
"25","Austria",1854,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.1
"26","Austria",1855,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.12
"27","Austria",1855,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",3.73
"28","Austria",1855,"CO2","MtCO₂e",1,8,"Waste",0
"29","Austria",1855,"CO2","MtCO₂e",1,8,"Agriculture",0
"30","Austria",1855,"CO2","MtCO₂e",1,8,"Energy",3.61
"31","Austria",1856,"CO2","MtCO₂e",1,8,"Energy",4.12
"32","Austria",1856,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",4.26
"33","Austria",1856,"CO2","MtCO₂e",1,8,"Agriculture",0
"34","Austria",1856,"CO2","MtCO₂e",1,8,"Waste",0
"35","Austria",1856,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.13
"36","Austria",1857,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",4.91
"37","Austria",1857,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.15
"38","Austria",1857,"CO2","MtCO₂e",1,7,"Energy",4.75
"39","Austria",1857,"CO2","MtCO₂e",1,7,"Waste",0
"40","Austria",1857,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"41","Austria",1858,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",7.3
"42","Austria",1858,"CO2","MtCO₂e",1,7,"Waste",0
"43","Austria",1858,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.23
"44","Austria",1858,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"45","Austria",1858,"CO2","MtCO₂e",1,7,"Energy",7.06
"46","Austria",1859,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",5.91
"47","Austria",1859,"CO2","MtCO₂e",1,7,"Waste",0
"48","Austria",1859,"CO2","MtCO₂e",1,7,"Energy",5.72
"49","Austria",1859,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.18
"50","Austria",1859,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"51","Austria",1860,"CO2","MtCO₂e",1,7,"Energy",5.99
"52","Austria",1860,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.19
"53","Austria",1860,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",6.2
"54","Austria",1860,"CO2","MtCO₂e",1,7,"Waste",0
"55","Austria",1860,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"56","Austria",1861,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",6.43
"57","Austria",1861,"CO2","MtCO₂e",1,7,"Energy",6.22
"58","Austria",1861,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.2
"59","Austria",1861,"CO2","MtCO₂e",1,7,"Waste",0
"60","Austria",1861,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"61","Austria",1862,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.2
"62","Austria",1862,"CO2","MtCO₂e",1,7,"Waste",0
"63","Austria",1862,"CO2","MtCO₂e",1,7,"Energy",6.19
"64","Austria",1862,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"65","Austria",1862,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",6.4
"66","Austria",1863,"CO2","MtCO₂e",1,7,"Waste",0
"67","Austria",1863,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",5.92
"68","Austria",1863,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.18
"69","Austria",1863,"CO2","MtCO₂e",1,7,"Energy",5.73
"70","Austria",1863,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"71","Austria",1864,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",5.12
"72","Austria",1864,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"73","Austria",1864,"CO2","MtCO₂e",1,7,"Energy",4.95
"74","Austria",1864,"CO2","MtCO₂e",1,7,"Waste",0
"75","Austria",1864,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.16
"76","Austria",1865,"CO2","MtCO₂e",1,7,"Energy",5.22
"77","Austria",1865,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.17
"78","Austria",1865,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"79","Austria",1865,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",5.39
"80","Austria",1865,"CO2","MtCO₂e",1,7,"Waste",0
"81","Austria",1866,"CO2","MtCO₂e",1,9,"Waste",0
"82","Austria",1866,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.11
"83","Austria",1866,"CO2","MtCO₂e",1,9,"Agriculture",0
"84","Austria",1866,"CO2","MtCO₂e",1,9,"Energy",3.5
"85","Austria",1866,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",3.62
"86","Austria",1867,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",4.95
"87","Austria",1867,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.15
"88","Austria",1867,"CO2","MtCO₂e",1,7,"Energy",4.79
"89","Austria",1867,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"90","Austria",1867,"CO2","MtCO₂e",1,7,"Waste",0
"91","Austria",1868,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"92","Austria",1868,"CO2","MtCO₂e",1,7,"Waste",0
"93","Austria",1868,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",6.12
"94","Austria",1868,"CO2","MtCO₂e",1,7,"Energy",5.92
"95","Austria",1868,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.19
"96","Austria",1869,"CO2","MtCO₂e",1,7,"Waste",0
"97","Austria",1869,"CO2","MtCO₂e",1,7,"Energy",6.32
"98","Austria",1869,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",6.53
"99","Austria",1869,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.2
"100","Austria",1869,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"101","Austria",1870,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"102","Austria",1870,"CO2","MtCO₂e",1,7,"Energy",7.18
"103","Austria",1870,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",7.42
"104","Austria",1870,"CO2","MtCO₂e",1,7,"Waste",0
"105","Austria",1870,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.23
"106","Austria",1871,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",10.2
"107","Austria",1871,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"108","Austria",1871,"CO2","MtCO₂e",1,7,"Energy",9.88
"109","Austria",1871,"CO2","MtCO₂e",1,7,"Waste",0.01
"110","Austria",1871,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.32
"111","Austria",1872,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"112","Austria",1872,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",10.1
"113","Austria",1872,"CO2","MtCO₂e",1,7,"Energy",9.75
"114","Austria",1872,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.31
"115","Austria",1872,"CO2","MtCO₂e",1,7,"Waste",0.01
"116","Austria",1873,"CO2","MtCO₂e",1,7,"Waste",0.01
