"word","ipcc_01.pdf","ipcc_07.pdf","ipcc_14.pdf","ipcc_90_92.pdf","ipcc_95.pdf","total"
"100",116,32,105,41,14,308
"1000",137,1,46,9,15,208
"1990",170,20,13,128,65,396
"1992",30,12,14,38,20,114
"1995",49,12,9,2,48,120
"2°c",2,5,95,6,3,111
"2000",213,78,79,33,7,410
"2020",71,10,7,14,1,103
"2050",83,20,87,21,9,220
"20th",131,15,22,1,3,172
"2100",209,26,222,30,60,547
"21st",111,39,79,1,3,233
"ability",54,12,21,33,17,137
"access",35,15,45,23,5,123
"account",115,20,31,66,22,254
"across",117,32,89,5,14,257
"action",143,34,70,105,32,384
"activity",191,47,56,120,27,441
"adapt",89,16,25,54,15,199
"adaptation",498,112,501,36,87,1234
"adaptive",133,29,17,13,6,198
"addition",70,9,26,44,15,164
"additional",75,25,80,43,19,242
"address",111,16,37,75,32,271
"advance",70,19,18,11,12,130
"adverse",96,24,49,31,13,213
"aerosol",278,33,32,57,46,446
"affect",271,60,55,125,32,543
"africa",84,23,9,15,15,146
"aggregate",59,18,26,4,12,119
"agreement",101,37,107,18,18,281
"agricultural",78,12,20,57,26,193
"agriculture",120,41,33,78,29,301
"achieve",107,41,40,36,40,264
"air",144,17,48,41,20,270
"allow",61,8,7,15,13,104
"already",63,6,20,48,8,145
"also",462,102,163,182,75,984
"alter",53,11,22,39,17,142
"alternative",59,15,8,11,23,116
"although",113,11,19,56,13,212
"america",87,18,17,12,8,142
"among",97,15,49,40,28,229
"amount",93,30,19,40,13,195
"analysis",178,23,28,80,77,386
"annex",281,44,53,30,2,410
"annual",122,25,68,30,30,275
"antarctic",62,13,33,10,1,119
"anthropogenic",215,85,133,31,47,511
"apply",62,15,18,14,9,118
"approach",143,22,65,44,43,317
"appropriate",58,15,19,51,21,164
"arctic",49,22,41,3,3,118
"area",381,114,78,266,44,883
"arise",48,4,21,24,4,101
"asia",125,21,9,3,6,164
"aspect",56,17,22,32,9,136
"assess",97,86,75,55,22,335
"assessment",528,90,181,179,118,1096
"associate",225,42,95,66,21,449
"assume",78,12,17,39,13,159
"assumption",111,15,28,21,17,192
"atmosphere",237,54,54,128,27,500
"atmospheric",322,51,49,91,38,551
"australia",66,18,17,22,95,218
"author",39,11,20,3,119,192
"availability",72,28,31,44,29,204
"available",123,37,60,77,37,334
"average",262,162,85,54,27,590
"avoid",58,22,17,5,6,108
"balance",93,35,6,41,14,189
"barrier",145,51,7,15,15,233
"base",295,98,131,81,32,637
"baseline",114,40,95,1,15,265
"basis",80,16,32,70,14,212
"become",89,18,22,35,30,194
"benefit",328,47,122,48,56,601
"beyond",49,13,50,9,24,145
"biodiversity",64,12,30,2,2,110
"biological",109,34,15,26,13,197
"biomass",53,15,8,51,24,151
"box",84,29,231,12,9,365
"broad",59,13,11,22,7,112
"build",76,20,42,10,14,162
"can",901,177,266,447,219,2010
"canada",44,12,4,18,71,149
"capacity",240,47,53,22,20,382
"capital",45,11,9,11,29,105
"carbon",609,148,270,204,106,1337
"case",117,7,34,63,25,246
"category",26,22,52,15,6,121
"cause",173,50,104,61,12,400
"century",403,115,146,85,42,791
"certain",45,10,24,22,4,105
"circulation",102,30,16,42,8,198
"climate",2724,632,1062,925,509,5852
"climatic",89,8,22,76,25,220
"cloud",77,19,9,29,1,135
"co2",653,155,478,27,90,1403
"coal",63,13,17,12,8,113
"coastal",211,54,58,199,31,553
"cold",76,23,15,5,9,128
"combine",52,11,35,7,19,124
"community",60,18,35,20,6,139
"compare",92,19,48,13,12,184
"complex",62,5,17,17,3,104
"component",66,14,30,27,11,148
"concentration",553,96,170,131,106,1056
"concern",104,21,38,28,26,217
"condition",144,17,25,62,22,270
"confidence",301,78,387,23,11,800
"consequence",91,12,34,68,28,233
"consider",141,27,34,82,22,306
"consideration",37,10,9,46,25,127
"consistent",111,39,40,32,7,229
"constraint",44,26,32,10,7,119
"consumption",41,11,42,14,24,132
"contain",49,29,19,20,6,123
"context",49,8,33,19,8,117
"continue",147,24,55,93,23,342
"contribute",83,16,36,33,10,178
"contribution",101,62,92,45,7,307
"control",62,14,15,55,11,157
"convention",85,26,20,60,36,227
"cool",62,17,26,16,10,131
"cooperation",20,13,40,31,13,117
"coral",70,33,28,15,4,150
"correspond",33,33,30,5,7,108
"cost",940,153,163,103,265,1624
"country",693,100,93,572,151,1609
"couple",50,11,15,24,4,104
"cover",115,45,33,53,13,259
"crop",150,35,41,33,13,272
"cumulative",32,5,64,6,7,114
"current",179,39,55,66,48,387
"currently",42,16,7,23,15,103
"cycle",115,40,36,29,21,241
"cyclone",66,18,9,8,2,103
"damage",140,30,28,14,89,301
"datum",190,45,59,95,26,415
"day",83,18,6,32,4,143
"decade",187,50,92,91,30,450
"decision",113,16,49,27,45,250
"decline",102,24,12,12,6,156
"decrease",283,64,69,99,17,532
"define",83,38,30,10,8,169
"deforestation",35,22,23,37,8,125
"degree",69,12,24,32,9,146
"demand",116,27,50,41,32,266
"depend",163,31,63,52,40,349
"describe",79,16,17,15,6,133
"design",69,20,24,24,7,144
"detail",67,18,24,39,13,161
"determine",73,15,16,40,6,150
"develop",357,35,70,402,108,972
"development",488,119,167,199,69,1042
"differ",42,10,23,19,25,119
"difference",125,25,27,18,16,211
"different",276,64,93,67,42,542
"difficult",41,16,16,20,23,116
"dioxide",88,47,93,96,44,368
"direct",129,12,35,36,15,227
"disease",103,29,10,20,10,172
"distribution",101,19,23,52,27,222
"domestic",65,18,12,7,10,112
"drought",140,35,38,34,16,263
"due",226,124,93,99,39,581
"early",93,34,26,16,12,181
"earth",106,34,33,24,6,203
"ecological",79,3,16,19,22,139
"economic",570,113,158,166,148,1155
"economy",114,25,23,23,33,218
"ecosystem",226,47,151,134,42,600
"effect",588,86,166,253,98,1191
"effective",103,21,81,61,34,300
"effectiveness",55,14,30,9,13,121
"efficiency",134,26,39,47,52,298
"efficient",66,15,13,30,19,143
"effort",43,15,53,66,9,186
"either",67,16,16,12,2,113
"electricity",27,9,48,7,9,100
"emission",1255,340,647,487,300,3029
"end",42,30,43,50,11,176
"energy",626,163,316,254,232,1591
"enhance",106,8,68,72,30,284
"environment",99,28,23,45,9,204
"environmental",274,34,40,77,36,461
"equilibrium",49,45,20,16,12,142
"equity",137,9,23,1,54,224
"equivalent",41,26,55,20,23,165
"especially",107,22,33,61,28,251
"establish",74,5,8,33,15,135
"estimate",417,103,96,168,106,890
"europe",93,18,11,22,8,152
"even",106,23,32,49,21,231
"event",306,46,87,27,15,481
"evidence",99,45,132,21,10,307
"example",209,58,74,69,26,436
"exceed",55,22,32,10,5,124
"exist",134,15,50,79,43,321
"expansion",54,25,15,12,4,110
"expect",157,53,27,91,27,355
"experience",52,8,22,13,6,101
